Future_Alpha_Funds,Future_Alpha_Weights,Future_Sharpe_Funds,Future_Sharpe_Weights
16976,0.03000493,16976,0.061456364
18762,0.065030329,20447,0.061969665
508,0.028407174,18762,0.107483868
7107,0.048465458,14153,0.03621821
14153,0.05477757,16267,0.146738521
16267,0.099399809,7107,0.107710806
18486,0.250122325,17038,0.031573144
13562,0.021976284,126,0.035165318
126,0.056350338,16789,0
17784,0.051062415,19201,0.068422279
16789,0.040474867,12379,0.014661447
9699,0.149858963,19330,0.112290953
12214,0.054741845,12214,0.073221373
12716,0.049327692,7693,0.143088052
