,Date,Cumulative_Returns,EQ_Cumulative_Returns
0,1/1/2016,1.00375674,1.005678572
1,2/1/2016,1.006766994,1.007287657
2,3/1/2016,1.010117266,1.013223459
3,4/1/2016,1.003290418,1.002381968
4,5/1/2016,1.022734988,1.020875916
5,6/1/2016,1.027747037,1.031135719
6,7/1/2016,1.028304349,1.034752059
7,8/1/2016,1.029758241,1.035631598
8,9/1/2016,1.032036279,1.039374667
9,10/1/2016,1.028968184,1.036813351
10,11/1/2016,1.031944673,1.034236129
11,12/1/2016,1.038676388,1.045649664
12,1/1/2017,1.002739426,1.002357143
13,2/1/2017,1.007117083,1.001240231
14,3/1/2017,1.004317784,0.995218486
15,4/1/2017,1.027762654,0.994422311
16,5/1/2017,1.02820474,0.99727062
17,6/1/2017,1.016484558,0.989748351
18,7/1/2017,1.019479369,0.985824705
19,8/1/2017,1.017419336,0.978670435
20,9/1/2017,1.015635116,0.97207839
21,10/1/2017,1.028304683,0.972925488
22,11/1/2017,1.021774932,0.971952563
23,12/1/2017,1.034514785,0.991315247
24,1/1/2018,1.011314391,1.017885714
25,2/1/2018,0.991067924,0.993580057
26,3/1/2018,0.981438392,0.983601674
27,4/1/2018,0.965381393,0.969423759
28,5/1/2018,0.953397382,0.957887616
29,6/1/2018,0.928699303,0.931018868
30,7/1/2018,0.917138968,0.920418553
31,8/1/2018,0.899532356,0.906618849
32,9/1/2018,0.890507352,0.898556417
33,10/1/2018,0.861619216,0.871195374
34,11/1/2018,0.836242942,0.849340816
35,12/1/2018,0.822562715,0.829903045
36,1/1/2019,0.991295723,0.993714286
37,2/1/2019,0.976006576,0.979014413
38,3/1/2019,0.957514508,0.966622887
39,4/1/2019,0.944755516,0.958164937
40,5/1/2019,0.933198973,0.945565068
41,6/1/2019,0.922921359,0.937804681
42,7/1/2019,0.90504221,0.924193116
43,8/1/2019,0.887296051,0.905181143
44,9/1/2019,0.873324043,0.888196065
45,10/1/2019,0.864348471,0.878819252
46,11/1/2019,0.864598524,0.878957352
47,12/1/2019,0.858440114,0.877789595
