,0
0,1.0015285714316382
1,0.9942388742764614
2,1.0000835784579483
3,0.9953117509614805
4,1.012751034852706
5,1.0106387255232536
6,1.0183123611381206
7,1.0190179061168743
8,1.0191489226695298
9,1.019731293478016
10,1.0180123177630782
11,1.024520325105656
12,0.9988500000456614
13,1.0052141017802707
14,1.0013081268218198
15,1.0146684380020337
16,1.0183429872265501
17,1.0106254021882155
18,1.0075213385778228
19,1.0035704155899228
20,1.000946795827687
21,1.007367154900167
22,1.0071368995584769
23,1.0124531439745195
24,1.0170071428396872
25,0.9926207641182238
26,0.981971361286128
27,0.9605573713942638
28,0.9338950433328153
29,0.9024094389356144
30,0.8902204656611473
31,0.8705783867492081
32,0.8580855869685462
33,0.8343288742436791
34,0.8087507346890994
35,0.7884510914846427
36,0.981428571736307
37,0.9598862146023903
38,0.956924279688582
39,0.9411418643513414
40,0.9232534463773646
41,0.928529180283319
42,0.9083137733378539
43,0.9019361133345979
44,0.8660648259870742
45,0.8581155879247387
46,0.8520229670413614
47,0.8468256270961002
