,Hedge_Fund_Strategy,Hedge_Fund_Sub_Strategy,Fund_ID
37,Credit,Specialist Credit,17038
4,Credit,Emerging Market Credit,16198
169,Multi-Strategy,Diversified Multi-Strategy,13009
204,Relative Value,Diversified Relative Value,18905
185,Quantitative,Directional Quantitative,17130
162,Macro,Specialist Macro,16789
147,Macro,Diversified Macro,17164
192,Quantitative,Non-Directional Quantitative,17466
98,Equities,Directional Equity,12804
125,Equities,Specialist Equity,19083
163,Multi-Strategy,Diversified Multi-Strategy,19246
210,Relative Value,Diversified Relative Value,9983
178,Other,Other Investments,11318
179,Other,Other Investments,12298
