,index,SPX Index,BCOM Index,MSEUEMEA Index,LGDRTRUU Index,HEDGDIST Index,MXEF Index,Date
0,15-Jan,-0.03108305,-0.028846154,0.0,0.004237288,-0.010416667,0.006276151,2015-Jan-01
1,15-Feb,0.055137845,0.01980198,0.04797048,-0.004219409,0.011842105,0.029106029,2015-Feb-01
2,15-Mar,-0.017577197,-0.048543689,-0.035211268,-0.008474576,0.00130039,-0.015151515,2015-Mar-01
3,15-Apr,0.012621358999999999,0.04,0.06474820099999999,0.008547009,0.005194805,0.06612411,2015-Apr-01
4,15-May,-0.00047438300000000004,-0.019417476,-0.061016949,-0.008510638000000001,0.002583979,-0.040152964,2015-May-01
5,15-Jun,-0.023200758,0.01980198,0.010948905,-0.004329004,-0.011597938,-0.030907278,2015-Jun-01
6,15-Jul,0.012999519,-0.098039216,-0.04379562,0.004347826,-0.007822686,-0.07201646099999999,2015-Jul-01
7,15-Aug,-0.062737643,-0.010869565,-0.072519084,-0.004329004,-0.014454665,-0.092017738,2015-Aug-01
8,15-Sep,0.0031347959999999996,-0.011235955,-0.025423729,0.0,-0.013333333000000001,-0.011235955,2015-Sep-01
9,15-Oct,0.080561331,0.0,0.047619048,0.004347826,-0.002702703,0.062656642,2015-Oct-01
10,15-Nov,0.000481,-0.068965517,-0.061983471,-0.008658009,-0.008130080999999999,-0.04009434,2015-Nov-01
11,15-Dec,-0.028055159,-0.036585366,-0.074889868,-0.008695652,-0.0068306009999999995,-0.037575758,2015-Dec-01
12,16-Jan,-0.050880626,-0.025316456,-0.042857143,0.004385965,-0.013755158,-0.06549118400000001,2016-Jan-01
13,16-Feb,-0.003610108,0.0,0.025,0.008733624,-0.011157601000000001,-0.004037685,2016-Feb-01
14,16-Mar,0.041456016,0.039473684,0.129186603,0.039130435,0.005641749000000001,0.111553785,2016-Mar-01
15,16-Apr,-0.003859141,0.102564103,0.056277056,0.012605042,0.01542777,0.016949153,2016-Apr-01
16,16-May,0.015496368,-0.011627907,-0.081967213,-0.004149378,0.008287293000000001,-0.039285714,2016-May-01
17,16-Jun,0.0,0.034883721,0.03125,0.0125,-0.004109589,0.033457249,2016-Jun-01
18,16-Jul,0.033761293,-0.066666667,0.043103447999999996,0.012295081999999999,0.011004126999999999,0.040524434,2016-Jul-01
19,16-Aug,0.0,0.0,-0.032921811,0.004065041,0.00952381,0.012457531,2016-Aug-01
20,16-Sep,-0.001381852,0.036585366,0.02991453,-0.0040322579999999995,0.006738544,0.013468013000000001,2016-Sep-01
21,16-Oct,-0.019372694,0.0,0.0,-0.016194332,0.010709505,0.002214839,2016-Oct-01
22,16-Nov,0.041193182,0.011764706000000002,-0.049792530999999994,-0.028806584,0.010596026000000001,-0.044296788,2016-Nov-01
23,16-Dec,0.021907805,0.011494253000000001,0.074561404,0.0042553190000000005,0.01310616,0.004662005,2016-Dec-01
24,17-Jan,0.017865118,0.0,0.020408163,0.012711864,0.012936611,0.054524362,2017-Jan-01
25,17-Feb,0.036842105,-0.011235955,-0.003984064,0.008403361,0.008939974,0.025191676,2017-Feb-01
26,17-Mar,-0.013772955,-0.034090908999999996,-0.011857708,0.0041841000000000005,0.0012658230000000001,0.021321962000000003,2017-Mar-01
27,17-Apr,0.008887008,-0.011764706000000002,0.04,0.016666667,0.01011378,0.020876827,2017-Apr-01
28,17-May,0.010050251,-0.011904762,0.0,0.020576132,0.0050062579999999995,0.025510203999999998,2017-May-01
29,17-Jun,-0.002880658,0.012195122,-0.026923077000000004,0.008097166,0.00124533,0.00297619,2017-Jun-01
30,17-Jul,0.019397441,0.012048193,0.051383399,0.016064257,0.006218905,0.054401582999999996,2017-Jul-01
31,17-Aug,-0.001615509,0.011904762,0.045112782000000004,0.007905138,0.0024721879999999997,0.01777362,2017-Aug-01
32,17-Sep,0.016955995,-0.011764706000000002,-0.046594982,-0.003921569000000001,0.006165228000000001,-0.008249313000000001,2017-Sep-01
33,17-Oct,0.022231044,0.023809524,0.007518797,0.0,0.004901961,0.034195933,2017-Oct-01
34,17-Nov,0.026754556000000002,-0.011494253000000001,0.022140221,0.007874016,-0.003658537,-0.007085917,2017-Nov-01
35,17-Dec,0.012112036000000001,0.023255814,0.08029197099999999,0.0078125,0.015911873,0.037634409,2017-Dec-01
36,18-Jan,0.056095737,0.022727273,0.060810811,0.0038759690000000004,0.013253012,0.083765112,2018-Jan-01
37,18-Feb,-0.03827073,-0.022222222000000003,-0.01910828,-0.015444015,-0.005945303000000001,-0.043234588,2018-Feb-01
38,18-Mar,-0.013816281000000001,-0.011363636000000002,-0.045901639,0.003921569000000001,-0.0035885170000000003,-0.01761745,2018-Mar-01
39,18-Apr,0.002650511,0.034482759,-0.024054983,-0.01171875,0.0,-0.005977796999999999,2018-Apr-01
40,18-May,0.018832392,0.02247191,-0.046428570999999995,-0.003968254,-0.00120048,-0.035283993,2018-May-01
41,18-Jun,-0.006215722,-0.033333333,-0.040740741000000004,0.0,0.006009615,-0.053097345,2018-Jun-01
42,18-Jul,0.036055923,-0.022988506000000002,0.042471042,0.004,0.009557945,0.01588785,2018-Jul-01
43,18-Aug,0.03163882,0.0,-0.074349442,0.003984064,0.0,-0.028518859,2018-Aug-01
44,18-Sep,0.004135079,0.011904762,0.012048193,-0.003968254,-0.0011834319999999999,-0.007575758,2018-Sep-01
45,18-Oct,-0.072820513,-0.034883721,-0.071428571,-0.015936255,-0.009478673,-0.086042065,2018-Oct-01
46,18-Nov,0.00729927,-0.011904762,0.020833333,-0.004048583,-0.0035885170000000003,0.024716787,2018-Nov-01
47,18-Dec,-0.091666667,-0.072289157,-0.020408163,0.012195122,-0.019207683,-0.029145729,2018-Dec-01
48,19-Jan,0.078579976,0.051948052,0.108333333,0.024096386,0.011015912,0.086956522,2019-Jan-01
49,19-Feb,0.028444773,0.0,-0.026515152,0.003937008,0.010895884,0.0009523810000000001,2019-Feb-01
50,19-Mar,0.010699001000000001,0.0,-0.011764706000000002,0.015686275,-0.001197605,0.005703422,2019-Mar-01
51,19-Apr,0.027554935,-0.012195122,0.027237354,0.007751938000000001,0.021582734,0.008411215,2019-Apr-01
52,19-May,-0.058823529000000006,-0.025,-0.037878788,0.007692308,-0.015258216000000002,-0.07592592599999999,2019-May-01
53,19-Jun,0.069040698,0.025641026,0.051181102,0.026717557000000003,0.009535161,0.057114227999999996,2019-Jun-01
54,19-Jul,0.005398111,0.0,-0.025925926000000002,0.003731343,-0.015348288,-0.02537594,2019-Jul-01
55,19-Aug,-0.009478673,0.0,-0.061538462,0.018587361,-0.01558753,-0.04,2019-Aug-01
56,19-Sep,0.017429938,0.012987013,0.004098361,-0.00729927,-0.0048721070000000005,0.017276423,2019-Sep-01
57,19-Oct,0.033333333,0.012820513,0.028688525,0.011029411999999999,0.0036719709999999996,0.04408817599999999,2019-Oct-01
58,19-Nov,0.024127812000000002,-0.0375,-0.007905138,-0.0036363640000000004,-0.002439024,-0.008579600000000001,2019-Nov-01
59,19-Dec,0.028653295,0.051948052,0.06772908400000001,0.00729927,0.012224938999999999,0.072115385,2019-Dec-01
