DATE,GS1M,Risk Free Rate
1/1/2015,0.02,0.0002
2/1/2015,0.02,0.0002
3/1/2015,0.02,0.0002
4/1/2015,0.02,0.0002
5/1/2015,0.01,0.0001
6/1/2015,0.01,0.0001
7/1/2015,0.03,0.0003
8/1/2015,0.04,0.0004
9/1/2015,0.01,0.0001
10/1/2015,0.01,0.0001
11/1/2015,0.07,0.0007
12/1/2015,0.17,0.0017
1/1/2016,0.23,0.0023
2/1/2016,0.26,0.0026
3/1/2016,0.25,0.0025
4/1/2016,0.19,0.0019
5/1/2016,0.23,0.0023
6/1/2016,0.22,0.0022
7/1/2016,0.26,0.0026
8/1/2016,0.26,0.0026
9/1/2016,0.19,0.0019
10/1/2016,0.24,0.0024
11/1/2016,0.3,0.003
12/1/2016,0.42,0.0042
1/1/2017,0.5,0.005
2/1/2017,0.48,0.0048
3/1/2017,0.66,0.0066
4/1/2017,0.75,0.0075
5/1/2017,0.73,0.0073
6/1/2017,0.84,0.0084
7/1/2017,0.97,0.0097
8/1/2017,0.98,0.0098
9/1/2017,0.99,0.0099
10/1/2017,1,0.01
11/1/2017,1.09,0.0109
12/1/2017,1.2,0.012
1/1/2018,1.3,0.013
2/1/2018,1.38,0.0138
3/1/2018,1.64,0.0164
4/1/2018,1.66,0.0166
5/1/2018,1.71,0.0171
6/1/2018,1.81,0.0181
7/1/2018,1.89,0.0189
8/1/2018,1.94,0.0194
9/1/2018,2.04,0.0204
10/1/2018,2.17,0.0217
11/1/2018,2.24,0.0224
12/1/2018,2.37,0.0237
1/1/2019,2.4,0.024
2/1/2019,2.43,0.0243
3/1/2019,2.45,0.0245
4/1/2019,2.43,0.0243
5/1/2019,2.4,0.024
6/1/2019,2.22,0.0222
7/1/2019,2.15,0.0215
8/1/2019,2.07,0.0207
9/1/2019,1.99,0.0199
10/1/2019,1.73,0.0173
11/1/2019,1.58,0.0158
12/1/2019,1.55,0.0155
1/1/2020,1.53,0.0153
